title,year,verdict,reason,confidence,majors,budget_usd_today,budget_wikipedia_today,budget_tmdb_today,budget_straddles,budget_raw,budget_source,countries,non_us,companies,company_source,distributor_majors,distributors,wikipedia,wikidata,tmdb,notes
Digger,2026,H,"no major studio, but budget $127.5M in today's money, avg of 2 sources (> $35M)",high,,127500000,125000000.0,130000000.0,False,"wikipedia: $125 million<ref name=""Belloni""/> | tmdb: $130000000",wikipedia+tmdb,United States; United Kingdom; Mexico,False,Legendary Pictures; TC Productions,wikipedia:studio,,Warner Bros. Pictures,https://en.wikipedia.org/wiki/Digger_(2026_film),https://www.wikidata.org/wiki/Q129677718,https://www.themoviedb.org/movie/1248832,no budget text
Dhurandhar,2025,A,"no major studio; budget $27.3M in today's money, avg of 2 sources (< $35M)",medium,,27300000,30600000.0,24000000.0,False,wikipedia: {{INR}}250–255 crore (combined with [[Dhurandhar: The Reveng | tmdb: $24000000,wikipedia+tmdb,India,True,Jyoti Deshpande; Jio Studios; B62 Studios,wikipedia:studio,,Jio Studios; PVR Inox Pictures,https://en.wikipedia.org/wiki/Dhurandhar,https://www.wikidata.org/wiki/Q135230927,https://www.themoviedb.org/movie/1291608,no budget text
Häxan,1922,A,"no major studio; budget $2.5M in today's money, avg of 2 sources (< $35M)",high,,2460000,2280000.0,2640000.0,False,wikipedia: [[Swedish krona|SEK]] 2 million | tmdb: $220000,wikipedia+tmdb,Sweden; Denmark,True,Svensk Filmindustri,wikipedia:studio,,Skandias Filmbyrå (Sweden),https://en.wikipedia.org/wiki/Häxan,https://www.wikidata.org/wiki/Q1438966,https://www.themoviedb.org/movie/57283,no budget text
The Furious,2025,A,"no major studio; budget $20.0M in today's money, avg of 2 sources (< $35M)",high,,20000000,20000000.0,20000000.0,False,wikipedia: [[USD$|US$]]20 million<ref>{{cite web |title=The Best Action | tmdb: $20000000,wikipedia+tmdb,Hong Kong,True,Edko Films; Hengdian Group; Zhejiang Hengdian Film; XYZ Films,wikipedia:studio,,Edko Films (Hong Kong); Lionsgate Films (International),https://en.wikipedia.org/wiki/The_Furious,https://www.wikidata.org/wiki/Q125948183,https://www.themoviedb.org/movie/1280738,no budget text
Obsession,2025,A,"no major studio; budget $0.8M in today's money, avg of 2 sources (< $35M)",high,,750000,750000.0,750000.0,False,"wikipedia: $750,000 | tmdb: $750000",wikipedia+tmdb,United States,False,Blumhouse Productions; Capstone Studios; Tea Shop Productions,wikipedia:studio,,Focus Features (United States); Universal Pictures (international),https://en.wikipedia.org/wiki/Obsession_(2025_film),https://www.wikidata.org/wiki/Q136163067,https://www.themoviedb.org/movie/1339713,no budget text
Minotaur,2026,A,"no major studio; budget $7.5M in today's money, wikipedia (< $35M)",high,,7500000,7500000.0,,False,wikipedia: $7.5 million,wikipedia,France; Germany; Latvia,True,Marin Karmitz; MK Productions; CG Cinéma; Forma Pro Films; Razor Film Produktion; Arte France Cinéma; ZDF Studios; LEAF Entertainment,wikipedia:studio,,Les Films du Losange (France); Mubi (streaming service); Mubi (Germany),https://en.wikipedia.org/wiki/Minotaur_(2026_film),https://www.wikidata.org/wiki/Q137612975,https://www.themoviedb.org/movie/848700,no budget text
Fjord,2026,A,"no major studio; budget $4.9M in today's money, avg of 2 sources (< $35M)",high,,4913000,5076000.0,4750000.0,False,wikipedia: [[Euro sign|€]]4.7 million{{cn|date=June 2026}} | tmdb: $4750000,wikipedia+tmdb,Norway; France; Romania; Denmark; Sweden; Finland,True,Mobra Films; Why Not Productions; Eye Eye Pictures; Snowglobe Film; Aamu Film Company; Filmgate Films,wikipedia:studio,,Forum Film România (Romania); Le Pacte (France),https://en.wikipedia.org/wiki/Fjord_(film),https://www.wikidata.org/wiki/Q137652478,https://www.themoviedb.org/movie/1401459,no budget text
"Welcome Back, Mr. McDonald",1997,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Japan,True,Fuji Television; Fuji TV; Premier International,wikipedia:studio,,Toho,"https://en.wikipedia.org/wiki/Welcome_Back,_Mr._McDonald",https://www.wikidata.org/wiki/Q5358611,https://www.themoviedb.org/movie/102227,no budget text
"They Shoot Horses, Don't They?",1969,H,"no major studio, but budget $36.5M in today's money, wikipedia (> $35M)",medium,,36450000,36450000.0,,False,"wikipedia: $4.86&nbsp;million<ref name=""variety"">""[[American Broadcasti",wikipedia,United States,False,ABC Pictures; Palomar Pictures,wikipedia:studio,,Cinerama Releasing Corporation,"https://en.wikipedia.org/wiki/They_Shoot_Horses,_Don't_They?_(film)",https://www.wikidata.org/wiki/Q1140171,https://www.themoviedb.org/movie/28145,no budget text
Tony,2026,H,major studio: Metro-Goldwyn-Mayer (Amazon MGM),high,Amazon MGM,15000000,,15000000.0,False,tmdb: $15000000,tmdb,United States,False,Metro-Goldwyn-Mayer; Star Thrower Entertainment; Zapruder Films,wikipedia:studio,,A24,https://en.wikipedia.org/wiki/Tony_(2026_film),https://www.wikidata.org/wiki/Q136311776,https://www.themoviedb.org/movie/1329016,
Primetime,2026,?,not yet released and no budget published; step 2 cannot be applied,none,,,,,False,,,United States,False,A24; Icki Eneo Arlo; Range; Square Peg (production company); Square Peg,wikipedia:studio,,A24,https://en.wikipedia.org/wiki/Primetime_(film),https://www.wikidata.org/wiki/Q133273688,https://www.themoviedb.org/movie/1375441,no budget text
The Duellists,1977,A,"no major studio; budget $5.0M in today's money, avg of 2 sources (< $35M)",high,,4950000,4950000.0,4950000.0,False,"wikipedia: $900,000<ref>{{cite web|access-date=16 November 2021|url=htt | tmdb: $900000",wikipedia+tmdb,United Kingdom; Australia,True,Enigma Productions; Scott Free Productions; Scott Free Enterprises; National Film Finance Corporation; National Film Finance Consortium,wikipedia:studio,,Paramount Pictures,https://en.wikipedia.org/wiki/The_Duellists,https://www.wikidata.org/wiki/Q1212051,https://www.themoviedb.org/movie/19067,no budget text
The Debut,2026,?,not yet released and no budget published; step 2 cannot be applied,none,,,,,False,,,United States,False,Fruit Tree (company); Fruit Tree,wikipedia:studio,,A24,https://en.wikipedia.org/wiki/The_Debut_(2026_film),https://www.wikidata.org/wiki/Q133885802,https://www.themoviedb.org/movie/1391239,no budget text
Bucking Fastard,2026,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,United States,False,Providence Road Entertainment; Gateway to Orkney,wikipedia:studio,,,https://en.wikipedia.org/wiki/Bucking_Fastard,https://www.wikidata.org/wiki/Q133833410,https://www.themoviedb.org/movie/1429713,no budget text
Possible Love,2026,?,not yet released and no budget published; step 2 cannot be applied,none,,,,,False,,,South Korea,True,Pinehouse Film; Anonymous Content; Nowfilm,wikipedia:studio,,Netflix,https://en.wikipedia.org/wiki/Possible_Love,https://www.wikidata.org/wiki/Q137843740,https://www.themoviedb.org/movie/1483525,no budget text
